State Code,Region,State,Year,PM10,PM2.5,NO2,SO2,UV_Irradiance,Population,Violent_crime,Property_crime,Total_crime,Violent_crime_per_100K,Property_crime_per_100K,Total_crime_per_100K
VA,South,VA,2012,-1.2344473893644423,-0.5556591044433895,-0.05313270363293935,-0.7722088098897902,-0.15827469121428123,0.287737652974512,-0.326074283185757,-0.03381966875927547,-0.07488908024098034,191.5,2179.6,2371.061687424908
VA,South,VA,2013,-1.6463736195154879,-0.7838934110049922,-0.08806432761708274,-0.6037720071980412,-0.19618943024874602,0.2985347240024383,-0.3305723772220396,-0.07103603679169071,-0.10769947974922729,187.9,2065.9,2253.860434203892
VA,South,VA,2014,-1.7379127817712758,-0.8930014314602204,0.024493127442936427,-0.6158818426856834,0.05708102650147899,0.30844141753963034,-0.3010388387469736,-0.11274898399511755,-0.13964122268955545,198.4,1944.4,2142.8182041085493
VA,South,VA,2015,-1.4632952950039122,-0.8292488318620076,-0.014319788095001463,-0.6224872074971245,0.5621053504405504,0.316475157242763,-0.3046787437894918,-0.13888654632533823,-0.16275162385604255,195.6,1866.5,2062.139381483439
VA,South,VA,2016,-1.4175257138760182,-1.1718735171312609,-0.09776755650156754,-0.7226685738039816,1.0246651666610214,0.32106856261779215,-0.24265239444706863,-0.13495443134813448,-0.15068143402181855,219.8,1869.3,2089.125996211248
VA,South,VA,2017,-1.600604038387594,-1.2817101387247536,-0.2666037390915955,-0.841565140409922,1.179357301921638,0.32921133112279805,-0.26819091519254157,-0.16096283661706012,-0.17674113105938233,208.2,1792.9,2001.0224296991032
VA,South,VA,2018,-1.600604038387594,-1.2267007527857239,-0.3112385919602237,-0.8481705052213632,0.9442859199079559,0.33378702846423436,-0.27632891427134226,-0.20365163717249377,-0.21479242519407266,204.2,1681.3,1885.4559180811
VA,South,VA,2019,-1.3717561327481242,-1.121964339160088,-0.16763080446985465,-0.9164259416062549,1.1202103090278728,0.3387969384971579,-0.26461019559786925,-0.21665344800952518,-0.22439728495934616,208.0,1642.7,1850.6900400549748
VT,Northeast,VT,2000,,0.6481721262554407,-1.4309912052297222,0.2450173710721442,-0.8877542702373845,-0.8212537079169762,-0.7695212511705898,-0.8036914259748165,-0.8025957788653304,113.5,2873.39,2986.8911858376846
VT,Northeast,VT,2001,,0.913382940584007,-1.2524517937552095,-0.1094705404751966,-0.9499344422539068,-0.8206298290144448,-0.7709121091949667,-0.8092403960156392,-0.8075884859009399,105.04,2664.21,2769.250844084881
VT,Northeast,VT,2002,,1.1880655697100224,-1.2524517937552095,0.21969680596161983,-0.9105031136580634,-0.8201173204719479,-0.7704978110600459,-0.8158991600646267,-0.813288527570426,106.72,2423.32,2530.0360692321665
VT,Northeast,VT,2003,,0.9702138293687,-1.2524517937552095,0.1943762408510955,-0.9499344422539068,-0.8197492567985099,-0.769787585685896,-0.8222182888783568,-0.8186535159922864,110.16,2200.1,2310.263007848401
VT,Northeast,VT,2004,,0.7523620890273777,-1.3417214994924658,0.1943762408510955,-0.8316404564663765,-0.8194381222578622,-0.7688702112442858,-0.8177312768970707,-0.8146452864003182,115.0,2344.0,2458.3368880919074
VT,Northeast,VT,2005,,0.9039111257865581,-1.3417214994924658,0.16905567574057115,-1.5429209607529366,-0.8191722090591994,-0.7678936513548297,-0.8194007515041803,-0.8159524077120437,120.0,2281.0,2400.4494021346604
VT,Northeast,VT,2006,,0.38296131192687377,-1.5202609109669787,-0.08414997536467225,-1.6763808421542528,-0.8190466430028137,-0.764756822619001,-0.8185923239723708,-0.8148148812540548,136.6,2304.7,2441.2253088596394
VT,Northeast,VT,2007,,0.3450740527370787,-1.5202609109669787,-0.008188280033099234,-1.4670914826840071,-0.8194350489627757,-0.767124240532834,-0.8183483606343691,-0.8149348385896245,124.3,2322.7,2446.98625682893
VT,Northeast,VT,2008,,0.31665860834473253,-1.5202609109669787,-0.36267619158044,-1.5171389382095006,-0.819465050176714,-0.7646976371711552,-0.8113021254014967,-0.8085026435271782,137.5,2560.7,2698.1767944236285
VT,Northeast,VT,2009,,0.5060949042937086,-1.6988003224414914,-0.514599582243586,-1.5247218860163936,-0.8193609971859329,-0.7657925679563029,-0.8159517796081173,-0.8126763315130356,131.4,2401.4,2532.8100874935667
VT,Northeast,VT,2010,,0.5913412374707477,-1.6988003224414914,-0.6665229729067321,-1.5414043711915582,-0.8187538018852991,-0.7657037897845342,-0.8196399312473193,-0.81585313267571,131.0,2262.3,2393.319156618614
VT,Northeast,VT,2011,,0.47767945990136185,-1.6988003224414914,-0.514599582243586,-1.195621951197239,-0.8186774085502952,-0.7649047862386156,-0.8181857184090346,-0.8144839644662761,135.2,2309.0,2444.163842466289
VT,Northeast,VT,2012,,-0.21376302031240077,-1.7880700281787478,-0.7931257984593538,-1.016664382954565,-0.8187473626003562,-0.7636027063860075,-0.8124980241171913,-0.8093837094746387,142.3,2500.7,2643.0099384458576
VT,Northeast,VT,2013,,-0.5831637974129041,-1.7880700281787478,-0.9450491891224998,-1.1031099879531447,-0.8186482854206674,-0.7686630621768253,-0.8210032557832111,-0.8174456697168946,114.9,2214.2,2329.125640330019
