State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
MN,Minnesota,2016,37.9,49.8,83.27,34.8,2.7,34515.0
MS,Mississippi,2016,37.2,48.2,58.51,21.8,4.4,22694.0
MO,Missouri,2016,38.4,49.1,82.25,28.5,3.1,28406.0
MT,Montana,2016,40.1,50.5,88.96,31.0,3.0,28933.0
NE,Nebraska,2016,36.3,49.8,87.82,31.4,2.5,29910.0
NV,Nevada,2016,37.9,50.1,66.89,23.5,4.2,28117.0
NH,New Hampshire,2016,42.7,49.8,93.43,36.6,2.4,36320.0
NJ,New Jersey,2016,39.5,48.9,68.1,38.6,3.9,38911.0
NM,New Mexico,2016,37.7,49.5,73.98,27.2,4.3,25146.0
NY,New York,2016,38.4,48.5,63.46,35.7,3.7,35534.0
NC,North Carolina,2016,38.7,48.6,68.88,30.4,3.8,28156.0
ND,North Dakota,2016,35.0,51.5,87.2,29.6,2.0,33339.0
OH,Ohio,2016,39.3,49.0,81.59,27.5,3.6,29164.0
OK,Oklahoma,2016,36.4,49.5,72.42,25.2,3.6,25880.0
OR,Oregon,2016,39.2,49.5,84.42,32.7,3.5,30822.0
PA,Pennsylvania,2016,40.6,49.0,80.89,30.8,3.6,31272.0
RI,Rhode Island,2016,40.2,48.4,80.47,34.1,3.8,33008.0
SC,South Carolina,2016,39.1,48.5,67.37,27.2,3.7,27016.0
SD,South Dakota,2016,36.8,50.3,84.69,28.9,2.6,28585.0
TN,Tennessee,2016,38.6,48.8,77.84,26.1,3.3,27087.0
TX,Texas,2016,34.5,49.6,74.3,28.9,3.6,28714.0
UT,Utah,2016,30.7,50.4,86.3,32.6,2.8,26993.0
VT,Vermont,2016,43.1,49.3,94.36,36.4,2.6,31836.0
VA,Virginia,2016,38.2,49.2,67.85,38.1,3.2,36206.0
WA,Washington,2016,37.7,49.9,75.69,35.1,3.4,35284.0
WV,West Virginia,2016,42.3,49.2,93.07,20.8,4.1,24769.0
WI,Wisconsin,2016,39.4,49.7,85.52,29.5,2.7,30902.0
WY,Wyoming,2016,37.2,50.9,92.03,27.1,3.7,30042.0
AL,Alabama,2017,38.9,48.4,67.96,25.5,3.3,26498.0
AK,Alaska,2017,34.5,52.1,64.19,28.8,4.9,34222.0
AZ,Arizona,2017,37.7,49.7,77.57,29.4,3.5,29420.0
AR,Arkansas,2017,38.1,49.3,76.33,23.4,3.2,25316.0
CA,California,2017,36.5,49.7,58.63,33.6,3.7,35046.0
CO,Colorado,2017,36.8,50.3,84.19,41.2,2.8,36345.0
CT,Connecticut,2017,40.9,48.8,75.89,38.7,4.0,42029.0
DE,Delaware,2017,40.1,48.4,68.83,31.5,3.1,33887.0
DC,District of Columbia,2017,34.0,47.4,41.0,57.3,4.6,52500.0
