State,Year,UV_Irradiance
OH,2011,2490
OH,2012,2742
OH,2013,2531
OH,2014,2641
OH,2015,2889
OH,2016,3189
OH,2017,3057
OH,2018,3104
OH,2019,3294
OH,2020,3384
OK,1995,3258
OK,1996,3317
OK,1997,3345
OK,1998,3246
OK,1999,3325
OK,2000,3334
OK,2001,3256
OK,2002,3320
OK,2003,3215
OK,2004,3237
OK,2005,2968
OK,2006,3020
OK,2007,2817
OK,2008,3006
OK,2009,3020
OK,2010,2952
OK,2011,3447
OK,2012,3527
OK,2013,3353
OK,2014,3450
OK,2015,3564
OK,2016,3963
OK,2017,3849
OK,2018,3756
OK,2019,3864
OK,2020,4248
OR,1995,2492
OR,1996,2501
OR,1997,2531
OR,1998,2376
OR,1999,2465
OR,2000,2528
OR,2001,2482
OR,2002,2484
OR,2003,2461
OR,2004,2519
OR,2005,2343
OR,2006,2441
OR,2007,2481
OR,2008,2448
OR,2009,2551
OR,2010,2265
OR,2011,2674
OR,2012,2943
OR,2013,2978
OR,2014,3108
OR,2015,3153
OR,2016,3117
OR,2017,3132
OR,2018,3070
OR,2019,3025
OR,2020,3607
PA,1995,2705
PA,1996,2717
PA,1997,2710
PA,1998,2607
PA,1999,2714
PA,2000,2702
PA,2001,2648
PA,2002,2708
PA,2003,2640
PA,2004,2722
PA,2005,2155
PA,2006,2138
PA,2007,2233
PA,2008,2228
PA,2009,2154
PA,2010,2222
PA,2011,2371
PA,2012,2483
PA,2013,2400
PA,2014,2500
PA,2015,2851
PA,2016,3067
PA,2017,2937
PA,2018,2839
PA,2019,3011
PA,2020,3257
RI,1995,2571
RI,1996,2576
RI,1997,2572
RI,1998,2446
RI,1999,2571
RI,2000,2567
RI,2001,2517
RI,2002,2567
RI,2003,2538
RI,2004,2584
RI,2005,2079
RI,2006,2014
RI,2007,2190
RI,2008,2155
RI,2009,2092
RI,2010,2167
RI,2011,2456
RI,2012,2433
RI,2013,2398
RI,2014,2486
RI,2015,2626
RI,2016,2951
RI,2017,2870
RI,2018,2917
RI,2019,3120
RI,2020,3084
SC,1995,3338
SC,1996,3393
SC,1997,3435
SC,1998,3308
SC,1999,3363
SC,2000,3358
SC,2001,3373
SC,2002,3448
SC,2003,3306
SC,2004,3368
SC,2005,2837
SC,2006,2946
SC,2007,2979
SC,2008,3050
SC,2009,3031
SC,2010,3077
SC,2011,3422
SC,2012,3416
SC,2013,3346
SC,2014,3504
SC,2015,3639
SC,2016,3887
SC,2017,3985
SC,2018,3768
SC,2019,3982
SC,2020,4051
SD,1995,2508
SD,1996,2555
SD,1997,2576
SD,1998,2471
SD,1999,2550
SD,2000,2576
SD,2001,2518
SD,2002,2494
SD,2003,2479
SD,2004,2554
SD,2005,2367
SD,2006,2329
SD,2007,2334
SD,2008,2318
SD,2009,2338
SD,2010,2297
SD,2011,2594
SD,2012,3064
SD,2013,2577
SD,2014,2650
SD,2015,2845
SD,2016,3140
SD,2017,2961
SD,2018,2848
SD,2019,2807
SD,2020,3284
TN,1995,3192
TN,1996,3218
TN,1997,3246
TN,1998,3158
TN,1999,3220
TN,2000,3226
TN,2001,3186
TN,2002,3248
TN,2003,3128
TN,2004,3194
TN,2005,2658
TN,2006,2661
TN,2007,2778
TN,2008,2746
TN,2009,2678
TN,2010,2762
TN,2011,3030
TN,2012,3110
TN,2013,2948
TN,2014,3219
TN,2015,3358
TN,2016,3935
TN,2017,3842
TN,2018,3668
TN,2019,4036
TN,2020,3869
TX,1995,3682
TX,1996,3775
TX,1997,3810
TX,1998,3712
TX,1999,3786
TX,2000,3772
TX,2001,3713
TX,2002,3813
TX,2003,3676
TX,2004,3703
TX,2005,3372
TX,2006,3445
TX,2007,3233
TX,2008,3524
TX,2009,3562
TX,2010,3416
TX,2011,4052
TX,2012,3920
TX,2013,3911
TX,2014,3911
TX,2015,3895
TX,2016,4200
TX,2017,4173
TX,2018,4046
TX,2019,4250
TX,2020,4529
UT,1995,3207
UT,1996,3254
UT,1997,3293
UT,1998,3106
UT,1999,3200
UT,2000,3285
UT,2001,3209
UT,2002,3179
UT,2003,3149
UT,2004,3185
UT,2005,3096
UT,2006,3144
UT,2007,3205
UT,2008,3168
UT,2009,3102
UT,2010,2933
UT,2011,3277
UT,2012,3496
UT,2013,3364
UT,2014,3447
UT,2015,3612
UT,2016,3930
UT,2017,4005
UT,2018,3868
UT,2019,4001
UT,2020,4314
VT,1995,2399
VT,1996,2395
VT,1997,2373
VT,1998,2281
VT,1999,2400
VT,2000,2378
VT,2001,2337
VT,2002,2363
VT,2003,2337
VT,2004,2415
VT,2005,1946
VT,2006,1858
VT,2007,1996
VT,2008,1963
VT,2009,1958
VT,2010,1947
VT,2011,2175
VT,2012,2293
VT,2013,2236
VT,2014,2293
VT,2015,2670
VT,2016,2706
VT,2017,2506
VT,2018,2510
VT,2019,2722
VT,2020,2873
VA,1995,3006
VA,1996,3026
VA,1997,3043
VA,1998,2915
VA,1999,3006
VA,2000,3003
VA,2001,2977
VA,2002,3048
VA,2003,2945
VA,2004,3016
VA,2005,2474
VA,2006,2496
VA,2007,2600
VA,2008,2607
VA,2009,2542
VA,2010,2607
VA,2011,2833
VA,2012,2859
VA,2013,2834
VA,2014,3001
VA,2015,3334
VA,2016,3639
VA,2017,3741
VA,2018,3586
VA,2019,3702
VA,2020,3937
WA,1995,2208
WA,1996,2232
WA,1997,2253
WA,1998,2149
WA,1999,2207
WA,2000,2262
WA,2001,2209
WA,2002,2229
WA,2003,2212
WA,2004,2293
WA,2005,2087
WA,2006,2186
WA,2007,2169
WA,2008,2145
WA,2009,2298
WA,2010,2018
WA,2011,2365
WA,2012,2629
WA,2013,2598
WA,2014,2774
WA,2015,2906
WA,2016,2755
WA,2017,2792
WA,2018,2826
WA,2019,2742
WA,2020,3117
WV,1995,2924
WV,1996,2929
WV,1997,2940
WV,1998,2836
WV,1999,2925
WV,2000,2923
WV,2001,2872
WV,2002,2941
WV,2003,2841
WV,2004,2931
WV,2005,2315
WV,2006,2316
WV,2007,2437
WV,2008,2409
WV,2009,2385
WV,2010,2470
WV,2011,2605
WV,2012,2752
WV,2013,2626
WV,2014,2829
WV,2015,3101
WV,2016,3449
WV,2017,3479
WV,2018,3382
WV,2019,3459
WV,2020,3484
WI,1995,2407
WI,1996,2430
WI,1997,2440
WI,1998,2378
WI,1999,2457
WI,2000,2445
WI,2001,2400
WI,2002,2410
WI,2003,2348
WI,2004,2414
WI,2005,2106
WI,2006,2055
WI,2007,2158
WI,2008,2060
WI,2009,2118
WI,2010,2127
WI,2011,2325
WI,2012,2574
WI,2013,2255
WI,2014,2393
WI,2015,2764
WI,2016,2741
WI,2017,2624
WI,2018,2742
WI,2019,2730
WI,2020,3005
WY,1995,2829
WY,1996,2896
WY,1997,2930
WY,1998,2783
WY,1999,2867
WY,2000,2931
WY,2001,2859
WY,2002,2822
WY,2003,2813
WY,2004,2881
WY,2005,2835
WY,2006,2854
WY,2007,2842
WY,2008,2776
WY,2009,2766
WY,2010,2670
WY,2011,2853
WY,2012,3124
WY,2013,2852
WY,2014,3050
WY,2015,3288
WY,2016,3468
WY,2017,3478
WY,2018,3448
WY,2019,3378
WY,2020,3720
