data_year,state_abbr,incident_id
2013,ID,32
2013,IL,107
2013,IN,75
2013,KS,68
2013,KY,172
2013,LA,24
2013,MA,351
2013,MD,51
2013,ME,25
2013,MI,333
2013,MN,144
2013,MO,105
2013,MS,4
2013,MT,36
2013,NB,33
2013,NC,118
2013,ND,51
2013,NH,23
2013,NJ,414
2013,NM,12
2013,NV,73
2013,NY,615
2013,OH,341
2013,OK,43
2013,OR,68
2013,PA,56
2013,RI,7
2013,SC,52
2013,SD,21
2013,TN,205
2013,TX,142
2013,UT,76
2013,VA,123
2013,VT,13
2013,WA,294
2013,WI,50
2013,WV,58
2013,WY,1
2014,AK,6
2014,AL,9
2014,AR,10
2014,AZ,265
2014,CA,759
2014,CO,94
2014,CT,125
2014,DC,70
2014,DE,13
2014,FL,65
2014,GA,41
2014,IA,11
2014,ID,26
2014,IL,109
2014,IN,51
2014,KS,75
2014,KY,165
2014,LA,9
2014,MA,376
2014,MD,16
2014,ME,28
2014,MI,320
2014,MN,98
2014,MO,76
2014,MS,2
2014,MT,35
2014,NB,47
2014,NC,140
2014,ND,41
2014,NH,15
2014,NJ,336
2014,NM,13
2014,NV,24
2014,NY,545
2014,OH,421
2014,OK,31
2014,OR,66
2014,PA,54
2014,RI,5
2014,SC,53
2014,SD,18
2014,TN,198
2014,TX,158
2014,UT,55
2014,VA,123
2014,VT,15
2014,WA,304
2014,WI,52
2014,WV,29
2015,AK,8
2015,AL,10
2015,AR,5
2015,AZ,276
2015,CA,837
2015,CO,107
2015,CT,93
2015,DC,65
2015,DE,11
2015,FL,72
2015,GA,44
2015,GM,1
2015,IA,6
2015,ID,34
2015,IL,90
2015,IN,63
2015,KS,62
2015,KY,188
2015,LA,38
2015,MA,411
2015,MD,41
2015,ME,38
2015,MI,309
2015,MN,109
2015,MO,100
2015,MT,45
2015,NB,19
2015,NC,161
2015,ND,36
2015,NH,13
2015,NJ,330
2015,NM,13
2015,NV,58
2015,NY,500
2015,OH,416
2015,OK,37
2015,OR,65
2015,PA,57
2015,RI,18
2015,SC,55
2015,SD,16
2015,TN,221
2015,TX,191
2015,UT,47
2015,VA,158
2015,VT,8
2015,WA,275
2015,WI,43
2015,WV,41
2015,WY,2
2016,AK,11
2016,AL,14
2016,AR,12
2016,AZ,217
2016,CA,931
2016,CO,105
2016,CT,108
2016,DC,115
2016,DE,15
2016,FL,110
2016,GA,39
2016,IA,17
2016,ID,27
2016,IL,111
2016,IN,79
2016,KS,52
2016,KY,214
2016,LA,26
2016,MA,394
2016,MD,39
2016,ME,41
2016,MI,406
2016,MN,119
2016,MO,89
2016,MS,20
2016,MT,21
2016,NB,31
2016,NC,148
2016,ND,13
2016,NH,29
2016,NJ,283
2016,NM,26
2016,NV,43
2016,NY,595
2016,OH,471
2016,OK,35
2016,OR,107
2016,PA,72
2016,RI,12
2016,SC,30
2016,SD,18
2016,TN,149
2016,TX,179
2016,UT,67
2016,VA,127
2016,VT,25
2016,WA,395
2016,WI,39
2016,WV,41
2016,WY,3
2017,AK,4
2017,AL,14
2017,AR,24
2017,AZ,264
2017,CA,1094
2017,CO,78
2017,CT,110
2017,DC,193
2017,DE,29
2017,FL,145
2017,FS,3
2017,GA,27
2017,HI,1
2017,IA,10
2017,ID,40
2017,IL,85
2017,IN,97
2017,KS,77
2017,KY,380
2017,LA,42
2017,MA,434
2017,MD,102
2017,ME,32
2017,MI,455
2017,MN,144
2017,MO,105
2017,MS,49
2017,MT,21
2017,NB,41
2017,NC,166
2017,ND,15
2017,NH,17
2017,NJ,504
2017,NM,7
2017,NV,5
2017,NY,554
2017,OH,389
2017,OK,29
2017,OR,149
2017,PA,75
2017,RI,11
2017,SC,84
2017,SD,15
2017,TN,135
2017,TX,184
2017,UT,47
2017,VA,214
2017,VT,30
2017,WA,512
2017,WI,42
2017,WV,39
2017,WY,4
2018,AK,5
2018,AL,1
2018,AR,22
2018,AZ,169
2018,CA,1065
2018,CO,97
2018,CT,95
2018,DC,213
2018,DE,21
2018,FL,141
2018,FS,83
2018,GA,38
2018,HI,43
2018,IA,16
2018,ID,24
2018,IL,111
2018,IN,103
2018,KS,74
2018,KY,234
2018,LA,45
2018,MA,361
2018,MD,48
2018,ME,20
2018,MI,439
2018,MN,125
2018,MO,66
2018,MS,10
2018,MT,12
2018,NB,39
2018,NC,140
2018,ND,10
2018,NH,14
2018,NJ,545
2018,NM,46
2018,NV,38
2018,NY,523
2018,OH,364
2018,OK,30
2018,OR,137
2018,PA,69
2018,RI,13
2018,SC,65
2018,SD,20
2018,TN,159
2018,TX,404
2018,UT,44
2018,VA,149
2018,VT,43
2018,WA,515
2018,WI,48
2018,WV,83
2019,AK,11
2019,AL,2
2019,AR,14
2019,AZ,209
2019,CA,1015
2019,CO,233
2019,CT,80
2019,DC,222
2019,DE,22
2019,FL,111
2019,FS,129
2019,GA,157
2019,HI,39
2019,IA,11
2019,ID,21
2019,IL,68
2019,IN,91
2019,KS,75
2019,KY,147
2019,LA,27
2019,MA,382
2019,MD,19
2019,ME,19
2019,MI,407
2019,MN,141
2019,MO,91
2019,MS,20
2019,MT,34
2019,NB,44
2019,NC,231
2019,ND,19
2019,NH,16
2019,NJ,996
2019,NM,52
2019,NV,51
2019,NY,616
2019,OH,351
2019,OK,31
2019,OR,178
2019,PA,45
2019,RI,17
2019,SC,58
2019,SD,19
2019,TN,115
2019,TX,409
2019,UT,33
2019,VA,170
2019,VT,34
2019,WA,479
2019,WI,48
2019,WV,54
2019,WY,5
